net,length_um
_1200_,76.68µm
net441,76.64µm
pe_array\[2\].u_pe.accum_reg\[7\],76.32µm
clknet_leaf_7_clk,76.06µm
net439,76.02µm
net871,75.98µm
_1203_,75.835µm
_2062_,75.8µm
net166,75.78µm
net614,75.54µm
net504,75.46µm
net275,75.42µm
net274,75.34µm
net234,75.18µm
_4229_,75.08µm
clknet_leaf_2_clk,74.86µm
_4200_,74.72µm
net323,74.585µm
pe_array\[0\].u_pe.accum_reg\[23\],74.16µm
net365,74.16µm
net380,74.15µm
_0642_,73.65µm
net629,73.57µm
_1342_,73.48µm
_1204_,73.34µm
net320,72.84µm
net282,72.8µm
net288,72.39µm
net194,72.32µm
net367,72.28µm
clknet_leaf_60_clk,72.02µm
_1202_,72µm
_0870_,71.93µm
_2367_,71.77µm
_1205_,71.58µm
_1201_,71.54µm
net180,70.97µm
_3183_,70.88µm
net294,70.825µm
_4275_,70.74µm
net165,70.66µm
net225,70.38µm
pe_array\[2\].u_pe.accum_reg\[28\],69.84µm
_2236_,69.8µm
_1600_,69.2µm
net434,69.04µm
_0898_,68.82µm
net326,68.78µm
pe_array\[0\].u_pe.accum_reg\[22\],67.76µm
_3181_,67.04µm
net505,67.04µm
net654,66.92µm
_4202_,66.78µm
pe_array\[1\].u_pe.accum_reg\[30\],66.7µm
pe_array\[1\].u_pe.accum_reg\[26\],66.68µm
net381,66.48µm
net200,66.36µm
net213,66.3µm
_4321_,66.14µm
pe_array\[3\].u_pe.accum_reg\[27\],65.92µm
_3182_,65.86µm
clknet_leaf_42_clk,65.64µm
net277,65.4µm
net173,65.18µm
_3622_,65µm
pe_array\[1\].u_pe.accum_reg\[29\],64.66µm
pe_array\[1\].u_pe.weight_in\[5\],64.64µm
_0985_,64.62µm
net656,64.56µm
_3660_,64.48µm
clknet_leaf_52_clk,64.38µm
pe_array\[1\].u_pe.accum_reg\[16\],64.26µm
pe_array\[0\].u_pe.accum_reg\[18\],63.915µm
net382,63.83µm
net206,63.64µm
net359,63.495µm
clknet_leaf_68_clk,63.48µm
_1717_,63.4µm
pe_array\[1\].u_pe.weight_in\[1\],63.1µm
net7,63.04µm
pe_array\[1\].u_pe.accum_reg\[21\],62.9µm
net1023,62.77µm
net327,62.74µm
clknet_leaf_3_clk,62.72µm
clknet_leaf_18_clk,62.48µm
net514,62.385µm
_3417_,62.07µm
net266,62.04µm
_3974_,62µm
net290,61.94µm
_4199_,61.87µm
clknet_leaf_30_clk,61.83µm
_2159_,61.74µm
net209,61.6µm
net162,61.56µm
net561,61.54µm
pe_array\[1\].u_pe.accum_reg\[24\],61.2µm
_3207_,61.08µm
pe_array\[1\].u_pe.accum_reg\[25\],60.98µm
net252,60.48µm
net448,60.48µm
_1599_,60.45µm
net331,60.28µm
_1286_,60.22µm
net328,60.16µm
clknet_leaf_31_clk,60.06µm
net644,60.04µm
net573,59.94µm
_1311_,59.92µm
_2657_,59.88µm
_3796_,59.88µm
net221,59.44µm
net449,59.31µm
net385,59.24µm
net291,58.855µm
clknet_leaf_55_clk,58.82µm
net246,58.72µm
clknet_leaf_61_clk,58.64µm
_3206_,58.44µm
_3825_,58.06µm
_0520_,57.78µm
pe_array\[3\].u_pe.accum_reg\[28\],57.76µm
net273,57.69µm
_3185_,57.6µm
_1230_,57.5µm
net368,57.5µm
pe_array\[3\].u_pe.accum_reg\[26\],57.32µm
_3184_,57.26µm
_1773_,57.18µm
net1021,57.16µm
_3853_,56.84µm
net589,56.82µm
_2877_,56.72µm
clknet_leaf_50_clk,55.74µm
pe_array\[1\].u_pe.accum_reg\[22\],55.5µm
net682,55.44µm
pe_array\[1\].u_pe.accum_reg\[4\],55.38µm
clknet_leaf_44_clk,55.32µm
_0598_,55.26µm
_2615_,55.2µm
net279,55.18µm
_3887_,55.02µm
net456,55.02µm
net386,54.88µm
pe_array\[1\].u_pe.accum_reg\[28\],54.86µm
_0982_,54.72µm
_4240_,54.68µm
_2764_,54.58µm
_0121_,54.565µm
_3768_,54.52µm
_2964_,54.5µm
_1226_,54.46µm
_1776_,54.45µm
net748,54.36µm
_1207_,54.3µm
pe_array\[2\].u_pe.weight_in\[5\],54.26µm
_3946_,53.98µm
_0716_,53.82µm
net591,53.765µm
_1438_,53.76µm
pe_array\[3\].u_pe.accum_reg\[29\],53.64µm
pe_array\[0\].u_pe.accum_reg\[17\],53.53µm
_0568_,53.44µm
net1015,53.18µm
_2185_,53.02µm
_3730_,52.91µm
net280,52.75µm
clknet_leaf_58_clk,52.54µm
_1777_,51.79µm
_4241_,51.78µm
clknet_leaf_37_clk,51.72µm
net689,51.72µm
clknet_leaf_54_clk,51.33µm
_1037_,51.3µm
net270,51.2µm
net364,51.12µm
pe_array\[1\].u_pe.weight_in\[3\],51.06µm
_0784_,50.89µm
net683,50.75µm
pe_array\[3\].u_pe.accum_reg\[22\],50.68µm
pe_array\[1\].u_pe.weight_in\[6\],50.6µm
net500,50.5µm
net283,49.86µm
_2729_,49.81µm
_4403_,49.8µm
_4296_,49.66µm
pe_array\[3\].u_pe.accum_reg\[4\],49.66µm
net374,49.42µm
_1684_,49.4µm
net575,49.36µm
_0780_,49.34µm
clknet_leaf_28_clk,49.24µm
net744,49.16µm
_1597_,49.1µm
pe_accum\[2\]\[8\],49.03µm
_2695_,48.92µm
_1501_,48.82µm
net602,48.8µm
clknet_leaf_27_clk,48.78µm
_0748_,48.635µm
pe_array\[3\].u_pe.accum_reg\[23\],48.6µm
net247,48.32µm
clknet_leaf_29_clk,48.28µm
_0621_,48.22µm
_1011_,48.12µm
net184,48.1µm
_3263_,48.02µm
clknet_leaf_23_clk,47.9µm
net384,47.86µm
net551,47.82µm
pe_array\[1\].u_pe.accum_reg\[27\],47.76µm
_3697_,47.6µm
net488,47.6µm
clknet_leaf_39_clk,47.58µm
net161,47.35µm
_0124_,47.145µm
_3984_,46.88µm
_1231_,46.56µm
net630,46.39µm
net999,46.38µm
_2420_,46.37µm
pe_array\[2\].u_pe.accum_reg\[27\],46.16µm
_0599_,46.09µm
pe_array\[0\].u_pe.accum_reg\[21\],45.94µm
_1250_,45.82µm
_0865_,45.64µm
_3186_,45.62µm
pe_array\[1\].u_pe.accum_reg\[31\],45.58µm
pe_array\[0\].u_pe.accum_reg\[28\],45.55µm
_2572_,45.24µm
_1227_,45.18µm
_3557_,44.82µm
pe_array\[2\].u_pe.accum_reg\[21\],44.7µm
_2597_,44.54µm
pe_array\[1\].u_pe.accum_reg\[23\],44.52µm
_2197_,44.5µm
_1637_,44.4µm
pe_accum\[0\]\[8\],44.38µm
net163,44.34µm
_2849_,44.3µm
_1397_,44.28µm
_1589_,44.18µm
_3570_,44.11µm
net743,44.1µm
_2038_,43.78µm
_1744_,43.74µm
_2413_,43.44µm
pe_array\[0\].u_pe.accum_reg\[20\],43.44µm
_3072_,43.36µm
